時刻,時間 (ミリ秒),コンピュータ,理由,タグ,処理,ランク,方向,インタフェース,フレームの種類,プロトコル,フラグ,送信元IP,送信元MAC,送信元ポート,送信先IP,送信先MAC,送信先ポート,パケットサイズ,繰り返しカウント,終了時刻,フロー,ステータス,備考,データフラグ,データインデックス,データ
2015-02-16 21:54:23,1424091263169516,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,48121,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40640,06776BF6A5AD02E9E54000030800450002781A5A400035060000D28071FB0A0A11F1BBF9005024470C5606BF022E80180073000000000101080A49DF1F9D02555CD0
2015-02-16 21:54:23,1424091263824703,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,44744,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40642,06776BF6A5AD02E9E54000030800450002786BBD400035060000D28071FB0A0A11F1AEC800509B43DF2F2664F4FD80180073000000000101080A9212B31F02555D12
2015-02-16 21:54:24,1424091264651487,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.65,02:E9:E5:40:00:03,65133,10.10.17.241,06:77:6B:F6:A5:AD,80,580,1,,接続フロー,138,,8,40644,06776BF6A5AD02E9E5400003080045000236912C40003F06000036F956410A0A11F1FE6D0050AFA7E1FF95D1D73A80180073000000000101080AA16F4AAA02555D67
2015-02-16 21:54:24,1424091264838684,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.60,02:E9:E5:40:00:03,55971,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40646,06776BF6A5AD02E9E540000308004500022EF9AA40003F06000036F9563C0A0A11F1DAA30050A946916EAFC4B93280180073000000000101080AA15E735902555D78
2015-02-16 21:54:25,1424091265259876,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.63.158,02:E9:E5:40:00:03,38326,10.10.17.241,06:77:6B:F6:A5:AD,80,578,1,,接続フロー,138,,8,40648,06776BF6A5AD02E9E5400003080045000234A7F040003F06000036F93F9E0A0A11F195B600509E544DEA5ECF08458018008D000000000101080A9267E08A02555DA3
2015-02-16 21:54:25,1424091265353474,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,40694,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40650,06776BF6A5AD02E9E54000030800450002786E00400035060000D28071FB0A0A11F19EF6005010CF8B643F04AB8380180073000000000101080A49D3E93602555DA8
2015-02-16 21:54:25,1424091265400273,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.42,02:E9:E5:40:00:03,55774,10.10.17.241,06:77:6B:F6:A5:AD,80,576,1,,接続フロー,138,,8,40652,06776BF6A5AD02E9E5400003080045000232346B40003F06000036F9562A0A0A11F1D9DE00504C9B63CB2B8C181380180073000000000101080AA13C693202555DB1
2015-02-16 21:54:31,1424091271499756,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.41,02:E9:E5:40:00:03,41232,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40654,06776BF6A5AD02E9E540000308004500022EA5F940003F06000036F956290A0A11F1A110005017864582EBDA789480180073000000000101080AA1549AF302556013
2015-02-16 21:54:34,1424091274510498,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.41,02:E9:E5:40:00:03,41241,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40656,06776BF6A5AD02E9E540000308004500022E5C1B40003F06000036F956290A0A11F1A11900507A1B0139A59F87CA80180073000000000101080AA154A6B002556140
2015-02-16 21:54:34,1424091274666495,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.65,02:E9:E5:40:00:03,65134,10.10.17.241,06:77:6B:F6:A5:AD,80,580,1,,接続フロー,138,,8,40658,06776BF6A5AD02E9E5400003080045000236EB4A40003F06000036F956410A0A11F1FE6E0050E199A176AF2EFABD80180073000000000101080AA16F71C00255614F
2015-02-16 21:54:34,1424091274838091,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.60,02:E9:E5:40:00:03,55972,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40660,06776BF6A5AD02E9E540000308004500022EB8AF40003F06000036F9563C0A0A11F1DAA40050A755293F6263436E80180073000000000101080AA15E9A6E02556161
2015-02-16 21:54:39,1424091279190408,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,44026,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40662,06776BF6A5AD02E9E54000030800450002789C02400035060000D28071FB0A0A11F1ABFA00500964CC53B6EFA01C80180073000000000101080A49DF5E3A02556314
